year,title,place,duration,playtime,playage,male,female,10s,20s,30s,40s,50s,category,코미디,판타지,미스터리,공포,액션,가족,모험,전쟁,시대극,범죄,로맨스,종교,퀴어,스포츠,정치,법정,재난,성장,소설원작,영화원작,실화기반,우정,청춘,복수,키즈,폭력,선정,드라마,스릴러,image_url
2018,삼총사,한전아트센터,2018.03.16 ~2018.05.27,150분(인터미션 20분 포함),만 7세이상,13.2,86.8,6.2,36.5,33.7,19.5,3.7,"['소설원작','우정','로맨스','복수','액션']",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,https://ticketimage.interpark.com/Play/image/large/18/18000903_p.gif
2018,스모크,DCF대명문화공장 2관 라이프웨이홀,2018.04.24 ~2018.07.15,110분,중학생이상 관람가,3.9,96.1,7.6,46.6,35,8.3,1.7,"['미스터리','소설원작','시대극','드라마']",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,https://ticketimage.interpark.com/Play/image/large/18/18004149_p.gif
2018,인터뷰,드림아트센터 1관,2018.07.10 ~2018.09.30,110분,만 15세이상,4.9,95.1,8.1,46.6,33,9.5,2.1,"['스릴러','미스터리','폭력']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,https://ticketimage.interpark.com/Play/image/large/18/18007802_p.gif
2018,바람과 함께 사라지다,샤롯데씨어터,2018.05.18 ~2018.07.29,165분(인터미션 20분 포함),미취학아동입장불가,26.8,73.2,2.8,26,35.2,24.2,10,"['소설원작','시대극','로맨스','성장','드라마']",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,https://ticketimage.interpark.com/Play/image/large/18/18004852_p.gif
2018,베어 더 뮤지컬,백암아트홀,2017.11.28 ~2018.02.25,170분(인터미션 20분 포함),만 15세이상,6,94,11.4,48.3,31.9,6.1,1.7,"['드라마','종교','퀴어']",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,https://ticketimage.interpark.com/Play/image/large/22/22004644_p.gif
2018,아이언 마스크,광림아트센터 BBCH홀,2018.09.13 ~2018.11.18,150분(인터미션 15분 포함),미취학아동입장불가,6.6,93.4,16.2,48.2,20.5,11.7,2.7,"['소설원작','전쟁','우정','가족','폭력']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,https://ticketimage.interpark.com/Play/image/large/18/18010724_p.gif
2018,더데빌 (Musical THE DEVIL),두산아트센터 연강홀,2018.11.07 ~2019.03.17,120분(인터미션 15분 포함),만 16세이상,5.7,94.3,6.1,40.7,35.3,13.7,3.1,"['판타지','스릴러']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://ticketimage.interpark.com/Play/image/large/18/18012426_p.gif
2018,스토리오브마이라이프,백암아트홀,2018.11.27 ~2019.02.17,100분,8세이상 관람가능,4.6,95.4,6.9,47.5,32.7,10.1,2.2,"['판타지','우정']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,https://ticketimage.interpark.com/Play/image/large/18/18012864_p.gif
2018,오! 캐롤,디큐브아트센터,2018.08.16 ~2018.10.21,145분(인터미션 15분 포함),만 7세이상,16.4,83.6,1.5,25.6,36.9,25.9,8.3,"['로맨스','모험','성장']",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://ticketimage.interpark.com/Play/image/large/18/18009235_p.gif
2019,아이다,블루스퀘어 인터파크홀,2019.11.13 ~2020.02.23,165분(인터미션 20분 포함),8세이상 관람가능,26.6,73.4,4,32.1,33.8,20.9,7.9,"['드라마','로맨스','모험','시대극']",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,https://ticketimage.interpark.com/Play/image/large/22/22001534_p.gif
